PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
12-160;AP Baranowo;Baranowo;;18;Wielbark;szczycieñski;warmiñsko-mazurskie
06-320;UP Baranowo k. Ostro³êki;Baranowo;Trzydziestolecia Pl.;7;Baranowo;ostro³êcki;mazowieckie
63-604;UP Baranów;Baranów;Koœcielna;2;Baranów;kêpiñski;wielkopolskie
24-105;UP Baranów n. Wieprzem;Baranów;Pu³awska;9;Baranów;pu³awski;lubelskie
39-450;UP Baranów Sandomierski;Baranów Sandomierski;Rynek;21;Baranów Sandomierski;tarnobrzeski;podkarpackie
11-410;UP Barciany;Barciany;Wojska Polskiego;2;Barciany;kêtrzyñski;warmiñsko-mazurskie
33-342;AP Barcice Dolne;Barcice Dolne;;B/N;Stary S¹cz;nowos¹decki;ma³opolskie
11-043;AP Barcikowo;Barcikowo;;4;Dobre Miasto;olsztyñski;warmiñsko-mazurskie
88-193;AP Barcin;Barcin;Œwiêtego Wojciecha;5/1;Barcin;¿niñski;kujawsko-pomorskie
88-190;UP Barcin 1;Barcin;Artylerzystów;5;Barcin;¿niñski;kujawsko-pomorskie
88-192;FUP Barcin 1;Piechcin;11 Listopada;1;Barcin;¿niñski;kujawsko-pomorskie
77-232;AP Barcino;Barcino;;37;Kêpice;s³upski;pomorskie
98-275;AP Barczew k. Sieradza;Barczew;;16;BrzeŸnio;sieradzki;³ódzkie
11-010;AP Barczewko;Barczewko;;8;Barczewo;olsztyñski;warmiñsko-mazurskie
11-010;UP Barczewo;Barczewo;Pocztowy Pl.;1;Barczewo;olsztyñski;warmiñsko-mazurskie
77-300;AP Barkowo k. Cz³uchowa;Barkowo;;15 A;Cz³uchów;cz³uchowski;pomorskie
74-320;UP Barlinek;Barlinek;1 Maja Al.;6;Barlinek;myœliborski;zachodniopomorskie
74-320;AP Barlinek;Barlinek;Gorzowska;12;Barlinek;myœliborski;zachodniopomorskie
74-321;AP Barlinek;Barlinek;Kombatantów;4;Barlinek;myœliborski;zachodniopomorskie
83-220;AP Bar³o¿no;Bar³o¿no;;51;Skórcz;starogardzki;pomorskie
74-311;AP Barnówko;Barnówko;;17A;Dêbno;myœliborski;zachodniopomorskie
16-070;AP Barszczewo;Barszczewo;;11A;Choroszcz;bia³ostocki;podlaskie
10-687;AP Bart¹g;Bart¹g;;19 A;Stawiguda;olsztyñski;warmiñsko-mazurskie
87-321;UP Bartniczka;Bartniczka;Pocztowa;7;Bartniczka;brodnicki;kujawsko-pomorskie
11-200;UP Bartoszyce 1;Bartoszyce;11 Listopada;3;Bartoszyce;bartoszycki;warmiñsko-mazurskie
11-200;FUP Bartoszyce 1;Bezledy;;b/n;Bartoszyce;bartoszycki;warmiñsko-mazurskie
11-201;UP Bartoszyce 3;Bartoszyce;Bema Józefa (Genera³a Józefa Bema);53;Bartoszyce;bartoszycki;warmiñsko-mazurskie
11-204;UP Bartoszyce 6;Bartoszyce;Ogrodowa;1 A;Bartoszyce;bartoszycki;warmiñsko-mazurskie
11-204;FUP Bartoszyce 6;Bartoszyce;Marksa Karola;12 A;Bartoszyce;bartoszycki;warmiñsko-mazurskie
11-204;FUP Bartoszyce 6;Bartoszyce;Wyszyñskiego Stefana (Kardyna³a Stefana Wyszyñskiego);11;Bartoszyce;bartoszycki;warmiñsko-mazurskie
11-204;FUP Bartoszyce 6;Bartoszyce;¯eromskiego Stefana;33;Bartoszyce;bartoszycki;warmiñsko-mazurskie
78-460;UP Barwice k. Szczecinka;Barwice;Wolnoœci Pl.;4;Barwice;szczecinecki;zachodniopomorskie
78-450;FUP Barwice k. Szczecinka;Grzmi¹ca;Kolejowa;3a;Grzmi¹ca;szczecinecki;zachodniopomorskie
36-245;AP Barycz;Barycz;;264;Domaradz;brzozowski;podkarpackie
63-760;AP Baszków;Baszków;;68;Zduny;krotoszyñski;wielkopolskie
37-600;AP Basznia Górna;Basznia Górna;;86;Lubaczów;lubaczowski;podkarpackie
23-320;UP Batorz;Batorz;;50;Batorz;janowski;lubelskie
87-704;UP B¹dkowo;B¹dkowo;Kujawska;41;B¹dkowo;aleksandrowski;kujawsko-pomorskie
97-510;AP B¹kowa Góra;B¹kowa Góra;;63;Rêczno;piotrkowski;³ódzkie
46-200;AP B¹ków;B¹ków;Wolnoœci;26;Kluczbork;kluczborski;opolskie
29-100;AP Bebelno-Kolonia;Bebelno-Kolonia;;79;W³oszczowa;w³oszczowski;œwiêtokrzyskie
21-300;AP Bedlno Radzyñskie;Bedlno Radzyñskie;;28 A;Radzyñ Podlaski;radzyñski;lubelskie
28-512;UP Bejsce;Bejsce;;252;Bejsce;kazimierski;œwiêtokrzyskie
64-212;AP Belêcin;Belêcin;;30;Siedlec;wolsztyñski;wielkopolskie
05-622;UP Belsk Du¿y k. Grójca;Belsk Du¿y;Modrzewiowa;1 C;Belsk Du¿y;grójecki;mazowieckie
97-400;AP Be³chatów;Be³chatów;Czapliniecka;3;Be³chatów;be³chatowski;³ódzkie
97-400;AP Be³chatów;Be³chatów;Dolnoœl¹skie Os.;113;Be³chatów;be³chatowski;³ódzkie
97-400;AP Be³chatów;Be³chatów;Olsztyñska;1 B;Be³chatów;be³chatowski;³ódzkie
97-400;AP Be³chatów;Be³chatów;Wojska Polskiego;23N;Be³chatów;be³chatowski;³ódzkie
97-402;AP Be³chatów;Be³chatów;Wyszyñskiego Stefana Al. (Ksiêdza Kardyna³a Stefana Wyszyñskiego);17C;Be³chatów;be³chatowski;³ódzkie
97-400;UP Be³chatów 1;Be³chatów;Koœciuszki Tadeusza;21;Be³chatów;be³chatowski;³ódzkie
97-407;FUP Be³chatów 1;Be³chatów;Energetyków;12;Be³chatów;be³chatowski;³ódzkie
97-406;FUP Be³chatów 1;Be³chatów;Malinowa;2;Be³chatów;be³chatowski;³ódzkie
97-408;FUP Be³chatów 1;Be³chatów;Œwiêtej Barbary;2;Be³chatów;be³chatowski;³ódzkie
97-415;FUP Be³chatów 1;Kluki;;88;Kluki;be³chatowski;³ódzkie
19-200;AP Be³da;Be³da;;51A;Rajgród;grajewski;podlaskie
22-670;UP Be³¿ec;Be³¿ec;Lwowska;5;Be³¿ec;tomaszowski;lubelskie
24-200;UP Be³¿yce;Be³¿yce;Lubelska;3;Be³¿yce;lubelski;lubelskie
63-700;AP Benice;Benice;Krotoszyñska;14;Krotoszyn;krotoszyñski;wielkopolskie
22-523;AP Bere¿nica;Bere¿nica;;48;Horod³o;hrubieszowski;lubelskie
16-500;AP Ber¿niki;Ber¿niki;;54;Sejny;sejneñski;podlaskie
38-524;UP Besko;Besko;Podkarpacka;5;Besko;sanocki;podkarpackie
43-512;UP Bestwina;Bestwina;Podzamcze;16;Bestwina;bielski;œl¹skie
22-130;AP Bezek;Bezek;;69;Siedliszcze;che³mski;lubelskie
11-200;AP Bezledy;Bezledy;;27;Bartoszyce;bartoszycki;warmiñsko-mazurskie
73-260;AP Bêdargowo;Bêdargowo;;65;Pe³czyce;choszczeñski;zachodniopomorskie
97-319;UP Bêdków;Bêdków;Reymonta W³adys³awa Stanis³awa;6;Bêdków;tomaszowski;³ódzkie
39-120;AP Bêdziemyœl;Bêdziemyœl;;180;Sêdziszów Ma³opolski;ropczycko-sêdziszowski;podkarpackie
42-500;UP Bêdzin 1;Bêdzin;Krasickiego Ignacego;1;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Bêdzin;Chrobrego Boles³awa;3;Bêdzin;bêdziñski;œl¹skie
42-506;FUP Bêdzin 1;Bêdzin (Grodziec);Z B O W i D;18;Bêdzin;bêdziñski;œl¹skie
42-500;FUP Bêdzin 1;Bêdzin (Ksawera);¯wirki Franciszka i Wigury Stanis³awa;24 A;Bêdzin;bêdziñski;œl¹skie
