PNA;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
40-749;FUP Katowice 25;Katowice;Mruczka Roberta;5;Katowice;Katowice;œl¹skie
40-925;FUP Katowice 25;Katowice;Pola Wincentego;14;Katowice;Katowice;œl¹skie
40-878;FUP Katowice 25;Katowice;Reñców Nikodema i Józefa Trasa;30;Katowice;Katowice;œl¹skie
40-748;FUP Katowice 25;Katowice;Saska;1;Katowice;Katowice;œl¹skie
40-871;FUP Katowice 25;Katowice;Tysi¹clecia;90;Katowice;Katowice;œl¹skie
40-610;UP Katowice 26;Katowice;Szenwalda Lucjana;42;Katowice;Katowice;œl¹skie
40-927;UP Katowice 27;Katowice;Sowiñskiego Józefa Longina (Genera³a Józefa Longina Sowiñskiego);35;Katowice;Katowice;œl¹skie
40-163;UP Katowice 28;Katowice;Ordona Juliana;13;Katowice;Katowice;œl¹skie
40-929;UP Katowice 29;Katowice;Moœcickiego Ignacego;1 A;Katowice;Katowice;œl¹skie
40-145;UP Katowice 33;Katowice;Józefowska;100;Katowice;Katowice;œl¹skie
40-950;PP Katowice S105;Katowice;Oddzia³ów M³odzie¿y Powstañczej Pl.;6;Katowice;Katowice;œl¹skie
40-900;PP Katowice S105;skrytki/przegródki;;;Katowice;Katowice;œl¹skie
62-530;UP Kazimierz Biskupi;Kazimierz Biskupi;Goliñska;10;Kazimierz Biskupi;koniñski;wielkopolskie
24-120;UP Kazimierz Dolny;Kazimierz Dolny;Tyszkiewicza Tadeusza (Doktora Tadeusza Tyszkiewicza);2;Kazimierz Dolny;pu³awski;lubelskie
28-500;UP Kazimierza Wielka;Kazimierza Wielka;Reja Miko³aja;17;Kazimierza Wielka;kazimierski;œwiêtokrzyskie
28-500;AP Kazimierza Wielka;Kazimierza Wielka;Stawowa;1;Kazimierza Wielka;kazimierski;œwiêtokrzyskie
33-337;AP K¹clowa;K¹clowa;;62;Grybów;nowos¹decki;ma³opolskie
21-302;UP K¹kolewnica Wschodnia;K¹kolewnica;Lubelska;3;K¹kolewnica;radzyñski;lubelskie
64-114;AP K¹kolewo;K¹kolewo;Krzywiñska;29;Osieczna;leszczyñski;wielkopolskie
36-030;AP K¹kolówka;K¹kolówka;;452;B³a¿owa;rzeszowski;podkarpackie
18-500;AP K¹ty;K¹ty;;73;Ma³y P³ock;kolneñski;podlaskie
55-080;UP K¹ty Wroc³awskie;K¹ty Wroc³awskie;1 Maja;20;K¹ty Wroc³awskie;wroc³awski;dolnoœl¹skie
55-080;FUP K¹ty Wroc³awskie;Mietków;Kolejowa;27;Mietków;wroc³awski;dolnoœl¹skie
55-070;FUP K¹ty Wroc³awskie;Smolec;Dworcowa;2;K¹ty Wroc³awskie;wroc³awski;dolnoœl¹skie
55-083;AP K¹ty Wroc³awskie;K¹ty Wroc³awskie;Rynek;2;K¹ty Wroc³awskie;wroc³awski;dolnoœl¹skie
89-240;UP Kcynia;Kcynia;Dworcowa;9;Kcynia;nakielski;kujawsko-pomorskie
89-241;FUP Kcynia;Gromadno;;25;Kcynia;nakielski;kujawsko-pomorskie
64-223;AP Kêb³owo;Kêb³owo;Rynek;4;Wolsztyn;wolsztyñski;wielkopolskie
47-200;UP Kêdzierzyn-KoŸle 1;Kêdzierzyn-KoŸle;£ukasiewicza Ignacego;3;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-253;FUP Kêdzierzyn-KoŸle 1;Cisek;Planetorza W³adys³awa;57;Cisek;kêdzierzyñsko-kozielski;opolskie
47-200;FUP Kêdzierzyn-KoŸle 1;Kêdzierzyn-KoŸle;Piastowska;87;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-200;FUP Kêdzierzyn-KoŸle 1;Kêdzierzyn-KoŸle (K³odnica);Wagnera Pl.;9;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-200;FUP Kêdzierzyn-KoŸle 1;Reñska Wieœ;Kozielska;1;Reñska Wieœ;kêdzierzyñsko-kozielski;opolskie
47-222;UP Kêdzierzyn-KoŸle 2;Kêdzierzyn-KoŸle;Dworcowa;2;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-220;UP Kêdzierzyn-KoŸle 4;Kêdzierzyn-KoŸle;Doktora Judyma;2;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-240;FUP Kêdzierzyn-KoŸle 4;Bierawa;Koœcielna;2;Bierawa;kêdzierzyñsko-kozielski;opolskie
47-220;FUP Kêdzierzyn-KoŸle 4;Kêdzierzyn-KoŸle;Przodowników Pracy;1 B;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-223;FUP Kêdzierzyn-KoŸle 4;skrytki/przegródki;;;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-220;FUP Kêdzierzyn-KoŸle 4;Kêdzierzyn-KoŸle (Blachownia Œl¹ska);Tuwima Juliana;23 F;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-225;FUP Kêdzierzyn-KoŸle 4;skrytki/przegródki;;;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-220;FUP Kêdzierzyn-KoŸle 4;Kêdzierzyn-KoŸle (S³awiêcice);S³awiêcicka;95 C;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-246;FUP Kêdzierzyn-KoŸle 4;Kotlarnia;Gliwicka;7;Bierawa;kêdzierzyñsko-kozielski;opolskie
47-224;UP Kêdzierzyn-KoŸle 6;Kêdzierzyn-KoŸle;Gwardii Ludowej Pl.;2;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
47-232;UP Kêdzierzyn-KoŸle 12;Kêdzierzyn-KoŸle;£okietka W³adys³awa;25;Kêdzierzyn-KoŸle;kêdzierzyñsko-kozielski;opolskie
24-313;AP Kêpa Chotecka;Kêpa Chotecka;;7A;Wilków;opolski;lubelskie
77-230;UP Kêpice;Kêpice;Sikorskiego W³adys³awa (Genera³a W³adys³awa Sikorskiego);15;Kêpice;s³upski;pomorskie
63-600;AP Kêpno;Kêpno;Sienkiewicza Henryka;48;Kêpno;kêpiñski;wielkopolskie
63-600;UP Kêpno 1;Kêpno;Koœciuszki Tadeusza;4;Kêpno;kêpiñski;wielkopolskie
63-600;FUP Kêpno 1;Kêpno;Marcinkowskiego Jerzego Al.;12 I;Kêpno;kêpiñski;wielkopolskie
89-506;UP Kêsowo;Kêsowo;G³ówna;32;Kêsowo;tucholski;kujawsko-pomorskie
11-400;UP Kêtrzyn 1;Kêtrzyn;Pocztowa;1;Kêtrzyn;kêtrzyñski;warmiñsko-mazurskie
11-400;FUP Kêtrzyn 1;Kêtrzyn;Królowej Jadwigi;9;Kêtrzyn;kêtrzyñski;warmiñsko-mazurskie
11-402;UP Kêtrzyn 4;Kêtrzyn;Daszyñskiego Ignacego;19;Kêtrzyn;kêtrzyñski;warmiñsko-mazurskie
11-409;UP Kêtrzyn 5;Kêtrzyn;Wojska Polskiego;23;Kêtrzyn;kêtrzyñski;warmiñsko-mazurskie
32-650;UP Kêty;Kêty;Rynek;18;Kêty;oœwiêcimski;ma³opolskie
32-650;FUP Kêty;Kêty;Nad So³¹ Os.;17;Kêty;oœwiêcimski;ma³opolskie
32-653;FUP Kêty;skrytki/przegródki;;;Kêty;oœwiêcimski;ma³opolskie
32-651;FUP Kêty;Nowa Wieœ;Pocztowa;4;Kêty;oœwiêcimski;ma³opolskie
32-655;AP Kêty;Kêty;700-Lecia Os.; ;Kêty;oœwiêcimski;ma³opolskie
32-654;AP Kêty;Kêty;Partyzantów;50A;Kêty;oœwiêcimski;ma³opolskie
62-008;AP Kicin;Kicin;Nowe Osiedle;2a;Czerwonak;poznañski;wielkopolskie
05-319;AP Kiczki;Kiczki Pierwsze;;154;Ceg³ów;miñski;mazowieckie
25-019;AP Kielce;Kielce;Karczówkowska;5a;Kielce;Kielce;œwiêtokrzyskie
25-351;AP Kielce;Kielce;Koœciuszki Tadeusza (Genera³a Tadeusza Koœciuszki);25;Kielce;Kielce;œwiêtokrzyskie
25-602;AP Kielce;Kielce;Malików;69;Kielce;Kielce;œwiêtokrzyskie
25-435;AP Kielce;Kielce;Orzeszkowej Elizy;34;Kielce;Kielce;œwiêtokrzyskie
25-346;AP Kielce;Kielce;Piekoszowska;105;Kielce;Kielce;œwiêtokrzyskie
25-636;AP Kielce;Kielce;Po³owniaka Henryka (Pu³kownika Henryka Po³owniaka);15;Kielce;Kielce;œwiêtokrzyskie
25-001;AP Kielce;Kielce;¯elaznogórska;7B;Kielce;Kielce;œwiêtokrzyskie
25-001;UP Kielce 1;Kielce;Niepodleg³oœci Pl.;2;Kielce;Kielce;œwiêtokrzyskie
25-001;FUP Kielce 1;Kielce;Radomska;8;Kielce;Kielce;œwiêtokrzyskie
25-001;FUP Kielce 1;Kielce;Œwiêtokrzyska;20;Kielce;Kielce;œwiêtokrzyskie
25-090;UP Kielce 2;Kielce;Mielczarskiego Romualda;121;Kielce;Kielce;œwiêtokrzyskie
25-113;UP Kielce 3;Kielce;Barwinek;28;Kielce;Kielce;œwiêtokrzyskie
25-309;FUP Kielce 3;Kielce;Petyhorska;15;Kielce;Kielce;œwiêtokrzyskie
25-206;FUP Kielce 3;Kielce;Wojska Polskiego;242;Kielce;Kielce;œwiêtokrzyskie
25-543;UP Kielce 5;Kielce;Bukowa;10;Kielce;Kielce;œwiêtokrzyskie
25-543;FUP Kielce 5;Kielce;Sieje;8 b;Kielce;Kielce;œwiêtokrzyskie
25-021;UP Kielce 6;Kielce;Karczówkowska;20;Kielce;Kielce;œwiêtokrzyskie
25-470;UP Kielce 7;Kielce;Na Stoku Os.;72 K;Kielce;Kielce;œwiêtokrzyskie
25-648;UP Kielce 9;Kielce;Przemys³owa;30;Kielce;Kielce;œwiêtokrzyskie
25-030;UP Kielce 10;Kielce;Krakowska;1;Kielce;Kielce;œwiêtokrzyskie
25-602;UP Kielce 11;Kielce;Piekoszowska;32;Kielce;Kielce;œwiêtokrzyskie
25-351;UP Kielce 12;Kielce;Sienkiewicza Henryka;7;Kielce;Kielce;œwiêtokrzyskie
25-351;FUP Kielce 12;Kielce;Planty;13/2;Kielce;Kielce;œwiêtokrzyskie
25-820;UP Kielce 13;Kielce;Fabryczna;3;Kielce;Kielce;œwiêtokrzyskie
25-359;UP Kielce 14;Kielce;Seminaryjska;28a;Kielce;Kielce;œwiêtokrzyskie
25-355;FUP Kielce 14;Kielce;Zagórska;60;Kielce;Kielce;œwiêtokrzyskie
25-517;UP Kielce 15;Kielce;IX Wieków Kielc Al.;3;Kielce;Kielce;œwiêtokrzyskie
25-520;UP Kielce 21;Kielce;Pocieszka;17;Kielce;Kielce;œwiêtokrzyskie
25-329;UP Kielce 22;Kielce;Konopnickiej Marii;5;Kielce;Kielce;œwiêtokrzyskie
25-430;UP Kielce 23;Kielce;Nowaka-Jeziorañskiego Jana;77;Kielce;Kielce;œwiêtokrzyskie
25-670;UP Kielce 24;Kielce;Batalionów Ch³opskich;71;Kielce;Kielce;œwiêtokrzyskie
25-324;UP Kielce 25;Kielce;Sandomierska;107;Kielce;Kielce;œwiêtokrzyskie
25-705;UP Kielce 26;Kielce;Podklasztorna;117 a;Kielce;Kielce;œwiêtokrzyskie
25-547;UP Kielce 27;Kielce;Warszawska;153;Kielce;Kielce;œwiêtokrzyskie
25-636;UP Kielce 28;Kielce;Massalskiego Edmunda;6;Kielce;Kielce;œwiêtokrzyskie
25-636;FUP Kielce 28;Kielce;Karboñska;3 A;Kielce;Kielce;œwiêtokrzyskie
25-381;UP Kielce 29;Kielce;Wapiennikowa;45;Kielce;Kielce;œwiêtokrzyskie
25-900;PP Kielce T101;Kielce;Niepodleg³oœci Pl.;2;Kielce;Kielce;œwiêtokrzyskie
47-126;AP Kielcza;Kielcza;Dworcowa;5;Zawadzkie;strzelecki;opolskie
84-208;AP Kielno;Kielno;Leœna;1;Szemud;wejherowski;pomorskie
64-000;AP Kie³czewo;Kie³czewo;Koœciañska;57;Koœcian;koœciañski;wielkopolskie
98-358;UP Kie³czyg³ów;Kie³czyg³ów;Tysi¹clecia;23;Kie³czyg³ów;pajêczañski;³ódzkie
98-354;FUP Kie³czyg³ów;Siemkowice;Czêstochowska;5;Siemkowice;pajêczañski;³ódzkie
83-307;AP Kie³pino;Kie³pino;Kartuska;1;Kartuzy;kartuski;pomorskie
13-230;AP Kie³piny;Kie³piny;;67;Lidzbark;dzia³dowski;warmiñsko-mazurskie
32-732;AP Kierlikówka;Kierlikówka;;92;Trzciana;bocheñski;ma³opolskie
99-412;UP Kiernozia;Kiernozia;Koœciuszki Tadeusza;4 A;Kiernozia;³owicki;³ódzkie
14-523;AP Kierpajny Wielkie;Kierpajny Wielkie;;10/163;Pieniê¿no;braniewski;warmiñsko-mazurskie
11-701;AP Kiersztanowo;Kiersztanowo;;35;Mr¹gowo;mr¹gowski;warmiñsko-mazurskie
48-130;UP Kietrz Œl¹ski;Kietrz;Wojska Polskiego;19;Kietrz;g³ubczycki;opolskie
48-120;FUP Kietrz Œl¹ski;Baborów;Moniuszki Stanis³awa;9;Baborów;g³ubczycki;opolskie
28-404;UP Kije;Kije;;16;Kije;piñczowski;œwiêtokrzyskie
66-102;AP Kije;Kije;;33A;Sulechów;zielonogórski;lubuskie
86-253;UP Kijewo Królewskie;Kijewo Królewskie;;17A;Kijewo Królewskie;che³miñski;kujawsko-pomorskie
48-385;AP Kijów;Kijów;;28;Otmuchów;nyski;opolskie
78-222;AP Kikowo;Kikowo;;4A;Tychowo;bia³ogardzki;zachodniopomorskie
87-620;UP Kikó³;Kikó³;Koœciuszki Tadeusza Pl.;7;Kikó³;lipnowski;kujawsko-pomorskie
14-220;UP Kisielice;Kisielice;Wojska Polskiego Al.;7;Kisielice;i³awski;warmiñsko-mazurskie
11-106;UP Kiwity;Kiwity;;29;Kiwity;lidzbarski;warmiñsko-mazurskie
10-687;AP Klebark Wielki;Klebark Wielki;;14;Purda;olsztyñski;warmiñsko-mazurskie
34-101;AP Klecza Dolna;Klecza Dolna;;75;Wadowice;wadowicki;ma³opolskie
27-641;AP Kleczanów;Kleczanów;;91 A;Obrazów;sandomierski;œwiêtokrzyskie
62-540;UP Kleczew;Kleczew;Poznañska;25;Kleczew;koniñski;wielkopolskie
62-550;FUP Kleczew;Wilczyn;Rynek;12;Wilczyn;koniñski;wielkopolskie
07-405;AP Kleczkowo;Kleczkowo;Bielawska;3;Troszyn;ostro³êcki;mazowieckie
17-200;AP Klejniki;Klejniki;;68;Czy¿e;hajnowski;podlaskie
05-205;UP Klembów;Klembów;¯ymirskiego Franciszka (Genera³a Franciszka ¯ymirskiego);1A;Klembów;wo³omiñski;mazowieckie
24-170;AP Klementowice;Klementowice;;13;Kurów;pu³awski;lubelskie
66-133;AP Klenica;Klenica;Chrobrego Boles³awa;52;Bojad³a;zielonogórski;lubuskie
16-001;UP Kleosin;Kleosin;Tarasiuka Stefana (Ojca Stefana Tarasiuka);11;Juchnowiec Koœcielny;bia³ostocki;podlaskie
16-001;FUP Kleosin;Juchnowiec Koœcielny;Królowej Rodzin Pl.;1;Juchnowiec Koœcielny;bia³ostocki;podlaskie
16-061;FUP Kleosin;skrytki/przegródki;;;Juchnowiec Koœcielny;bia³ostocki;podlaskie
17-250;UP Kleszczele;Kleszczele;Plac Parkowy;5;Kleszczele;hajnowski;podlaskie
19-404;AP Kleszczewo;Kleszczewo;;9/1;Wieliczki;olecki;warmiñsko-mazurskie
83-206;AP Kleszczewo Koœcierskie;Kleszczewo Koœcierskie;; 172;Zblewo;starogardzki;pomorskie
97-410;UP Kleszczów;Kleszczów;G³ówna;112;Kleszczów;be³chatowski;³ódzkie
97-427;FUP Kleszczów;Rogowiec;Monta¿owa;2;Kleszczów;be³chatowski;³ódzkie
77-400;AP Kleszczyna;Kleszczyna;;45;Z³otów;z³otowski;wielkopolskie
10-687;AP Klewki;Klewki;;35;Purda;olsztyñski;warmiñsko-mazurskie
98-275;AP Kliczków Ma³y;Kliczków Ma³y;;15 B;BrzeŸnio;sieradzki;³ódzkie
34-404;AP Klikuszowa;Klikuszowa;;142a;Nowy Targ;nowotarski;ma³opolskie
19-213;AP Klimaszewnica;Klimaszewnica;;58;Radzi³ów;grajewski;podlaskie
38-480;AP Klimkówka;Klimkówka;Zdrojowa;160;Rymanów;kroœnieñski;podkarpackie
27-640;UP Klimontów;Klimontów;Krakowska;15;Klimontów;sandomierski;œwiêtokrzyskie
72-123;AP Kliniska Wielkie;Kliniska Wielkie;Pogodna;1;Goleniów;goleniowski;zachodniopomorskie
12-114;AP Klon;Klon;;55;Rozogi;szczycieñski;warmiñsko-mazurskie
98-273;UP Klonowa k. Sieradza;Klonowa;Dalaka Józefa (Ksiêdza Józefa Dalaka);4;Klonowa;sieradzki;³ódzkie
46-201;AP Kluczbork;Kluczbork;Opolska;15;Kluczbork;kluczborski;opolskie
46-200;UP Kluczbork 1;Kluczbork;Mickiewicza Adama;6;Kluczbork;kluczborski;opolskie
46-282;FUP Kluczbork 1;Lasowice Wielkie;;81;Lasowice Wielkie;kluczborski;opolskie
46-203;UP Kluczbork 3;Kluczbork;Ligonia Juliusza;14 A;Kluczbork;kluczborski;opolskie
32-310;UP Klucze;Klucze;Zawierciañska;18;Klucze;olkuski;ma³opolskie
32-310;FUP Klucze;Jaroszowiec;Kolejowa;9;Klucze;olkuski;ma³opolskie
32-312;FUP Klucze;skrytki/przegródki;;;Klucze;olkuski;ma³opolskie
78-554;AP Kluczewo;Kluczewo;Bia³ego Or³a;36;Czaplinek;drawski;zachodniopomorskie
29-120;UP Kluczewsko;Kluczewsko;Spó³dzielcza;12;Kluczewsko;w³oszczowski;œwiêtokrzyskie
24-300;AP Kluczkowice;Kluczkowice;;121;Opole Lubelskie;opolski;lubelskie
17-330;AP Klukowicze;Klukowicze;;59;Nurzec-Stacja;siemiatycki;podlaskie
34-440;AP Kluszkowce;Kluszkowce;B¹ka Jakuba;1133/2;Czorsztyn;nowotarski;ma³opolskie
32-015;UP K³aj;K³aj;P³achciñskiego;654;K³aj;wielicki;ma³opolskie
76-020;AP K³anino;K³anino;;39;Bobolice;koszaliñski;zachodniopomorskie
11-100;AP K³êbowo;K³êbowo;;10;Lidzbark Warmiñski;lidzbarski;warmiñsko-mazurskie
42-100;UP K³obuck;K³obuck;11 Listopada;3;K³obuck;k³obucki;œl¹skie
42-125;FUP K³obuck;Kamyk;Witosa Wincentego Pl.;9;K³obuck;k³obucki;œl¹skie
42-152;FUP K³obuck;Opatów;Koœciuszki;27;Opatów;k³obucki;œl¹skie
08-550;UP K³oczew;K³oczew;D³uga;67;K³oczew;rycki;lubelskie
64-131;AP K³oda;K³oda (Ma³a K³oda);;79;Rydzyna;leszczyñski;wielkopolskie
62-650;UP K³odawa;K³odawa;Wolnoœci Pl.;9;K³odawa;kolski;wielkopolskie
62-652;FUP K³odawa;Chodów;;8;Chodów;kolski;wielkopolskie
62-635;FUP K³odawa;Przedecz;Kiliñskiego Jana;15;Przedecz;kolski;wielkopolskie
66-415;UP K³odawa Gorzowska;K³odawa;Gorzowska;43;K³odawa;gorzowski;lubuskie
57-302;AP K³odzko;K³odzko;Grunwaldzka;29;K³odzko;k³odzki;dolnoœl¹skie
57-300;AP K³odzko;K³odzko;Wiosenna;28;K³odzko;k³odzki;dolnoœl¹skie
57-301;AP K³odzko;K³odzko;Wyspiañskiego Stanis³awa;20;K³odzko;k³odzki;dolnoœl¹skie
57-300;UP K³odzko 1;K³odzko;Jagie³³y W³adys³awa Pl.;2;K³odzko;k³odzki;dolnoœl¹skie
57-303;FUP K³odzko 1;K³odzko;£u¿ycka;1-3;K³odzko;k³odzki;dolnoœl¹skie
57-304;FUP K³odzko 1;K³odzko;Tumska;2;K³odzko;k³odzki;dolnoœl¹skie
57-360;FUP K³odzko 1;O³drzychowice K³odzkie;K³odzka;48;K³odzko;k³odzki;dolnoœl¹skie
42-270;UP K³omnice;K³omnice;Stra¿acka;18 A;K³omnice;czêstochowski;œl¹skie
74-505;AP K³osów;K³osów;; ;Mieszkowice;gryfiñski;zachodniopomorskie
87-841;AP K³óbka;K³óbka;;19;Lubieñ Kujawski;w³oc³awski;kujawsko-pomorskie
37-403;AP K³y¿ów;K³y¿ów;Mickiewicza Adama;16 ;Pysznica;stalowowolski;podkarpackie
84-252;AP Kniewo;Kniewo;Wejherowska;15;Wejherowo;wejherowski;pomorskie
44-191;AP Knurów;Knurów;1 Maja;10;Knurów;gliwicki;œl¹skie
44-193;AP Knurów;Knurów;Lignozy;63;Knurów;gliwicki;œl¹skie
44-190;AP Knurów;Knurów;Rybnicka;1A;Knurów;gliwicki;œl¹skie
44-190;UP Knurów 1;Knurów;Dworcowa;12;Knurów;gliwicki;œl¹skie
44-194;UP Knurów 4;Knurów;£okietka W³adys³awa;3;Knurów;gliwicki;œl¹skie
44-196;UP Knurów 6;Knurów;Lotników;17;Knurów;gliwicki;œl¹skie
19-120;UP Knyszyn;Knyszyn;Rynek;17;Knyszyn;moniecki;podlaskie
19-120;FUP Knyszyn;Kalinówka Koœcielna;;34;Knyszyn;moniecki;podlaskie
19-120;FUP Knyszyn;Krypno Koœcielne;;23 A;Krypno;moniecki;podlaskie
97-524;UP Kobiele Wielkie;Kobiele Wielkie;Szkolna;1;Kobiele Wielkie;radomszczañski;³ódzkie
43-356;AP Kobiernice;Kobiernice;¯ywiecka;6;Por¹bka;bielski;œl¹skie
63-700;AP Kobierno;Kobierno;Kobierska;34;Krotoszyn;krotoszyñski;wielkopolskie
55-040;UP Kobierzyce;Kobierzyce;Spó³dzielcza;7;Kobierzyce;wroc³awski;dolnoœl¹skie
55-040;FUP Kobierzyce;Jordanów Œl¹ski;Pocztowa;5;Jordanów Œl¹ski;wroc³awski;dolnoœl¹skie
43-210;UP Kobiór;Kobiór;Centralna;14;Kobiór;pszczyñski;œl¹skie
11-300;AP Kobu³ty;Kobu³ty;;10;Biskupiec;olsztyñski;warmiñsko-mazurskie
57-200;AP Kobyla G³owa;Kobyla G³owa;;16;Ciep³owody;z¹bkowicki;dolnoœl¹skie
63-507;UP Kobyla Góra;Kobyla Góra;Pocztowa;2;Kobyla Góra;ostrzeszowski;wielkopolskie
38-462;AP Kobylany;Kobylany;;303;Chorkówka;kroœnieñski;podkarpackie
63-740;UP Kobylin k. Krotoszyna;Kobylin;Krotoszyñska;17;Kobylin;krotoszyñski;wielkopolskie
62-006;AP Kobylnica;Kobylnica;¯wirki i Wigury;1;Swarzêdz;poznañski;wielkopolskie
76-251;UP Kobylnica k. S³upska;Kobylnica;G³ówna;44;Kobylnica;s³upski;pomorskie
05-230;UP Koby³ka;Koby³ka;Orszagha Antoniego;14;Koby³ka;wo³omiñski;mazowieckie
05-231;AP Koby³ka;Koby³ka;Rêczajska;11D;Koby³ka;wo³omiñski;mazowieckie
42-713;UP Kochanowice;Kochanowice;Lubliniecka;7;Kochanowice;lubliniecki;œl¹skie
99-414;UP Kocierzew;Kocierzew Po³udniowy;;97;Kocierzew Po³udniowy;³owicki;³ódzkie
12-202;AP Kocio³ek Szlachecki;Kocio³ek Szlachecki;;8/1;Pisz;piski;warmiñsko-mazurskie
97-426;AP Kociszew;Kociszew;;28;Zelów;be³chatowski;³ódzkie
21-150;UP Kock;Kock;Apteczna;2;Kock;lubartowski;lubelskie
23-304;AP Kocudza Trzecia;Kocudza Trzecia;;2;Dzwola;janowski;lubelskie
77-220;UP Kocza³a;Kocza³a;Cz³uchowska;26;Kocza³a;cz³uchowski;pomorskie
21-211;AP Kodeniec;Kodeniec;;67a;Dêbowa K³oda;parczewski;lubelskie
21-509;UP Kodeñ;Kodeñ;1 Maja;20;Kodeñ;bialski;lubelskie
97-512;UP Kodr¹b k. Radomska;Kodr¹b;Armii Ludowej;8;Kodr¹b;radomszczañski;³ódzkie
62-817;AP Kokanin;Kokanin;;14;¯elazków;kaliski;wielkopolskie
42-231;AP Kokawa;Kokawa;Jesionowa;3;Mykanów;czêstochowski;œl¹skie
83-207;AP Kokoszkowy;Kokoszkowy;Gdañska;1;Starogard Gdañski;starogardzki;pomorskie
83-050;UP Kolbudy;Kolbudy;Bukowskiego;3;Kolbudy;gdañski;pomorskie
36-100;UP Kolbuszowa;Kolbuszowa;Jana Paw³a II;2;Kolbuszowa;kolbuszowski;podkarpackie
36-100;FUP Kolbuszowa;Kolbuszowa;Ruczki Ludwika (Ksiêdza Ludwika Ruczki);10/3;Kolbuszowa;kolbuszowski;podkarpackie
36-101;FUP Kolbuszowa;Kolbuszowa;Rzeszowska;6;Kolbuszowa;kolbuszowski;podkarpackie
36-145;FUP Kolbuszowa;Wide³ka;;228;Kolbuszowa;kolbuszowski;podkarpackie
84-207;AP Koleczkowo;Koleczkowo;Partyzantów Kaszubskich;3;Szemud;wejherowski;pomorskie
73-115;AP Kolin;Kolin;;79;Dolice;stargardzki;zachodniopomorskie
18-500;UP Kolno;Kolno;Konopnickiej Marii;2;Kolno;kolneñski;podlaskie
18-500;FUP Kolno;Kolno;Wojska Polskiego;44;Kolno;kolneñski;podlaskie
18-500;FUP Kolno;Ma³y P³ock;Ciborowskiego Tadeusza (Ksiêdza Tadeusza Ciborowskiego);38;Ma³y P³ock;kolneñski;podlaskie
83-140;AP Kolonia Ostrowicka;Kolonia Ostrowicka;;13;Gniew;tczewski;pomorskie
47-113;AP Kolonowskie;Kolonowskie;Bo¿ka Arki;6;Kolonowskie;strzelecki;opolskie
95-040;UP Koluszki;Koluszki;Kolejowa;4;Koluszki;³ódzki wschodni;³ódzkie
95-041;FUP Koluszki;Ga³ków Du¿y;Dzieci Polskich;16;Koluszki;³ódzki wschodni;³ódzkie
95-040;AP Koluszki;Koluszki;3 Maja;1;Koluszki;³ódzki wschodni;³ódzkie
95-060;AP Ko³acin;Ko³acin;;3;Dmosin;brzeziñski;³ódzkie
28-100;AP Ko³aczkowice;Ko³aczkowice;;16;Busko-Zdrój;buski;œwiêtokrzyskie
89-200;AP Ko³aczkowo;Ko³aczkowo;S³oneczna;15;Szubin;nakielski;kujawsko-pomorskie
06-407;AP Ko³aczków;Ko³aczków;;77;Opinogóra Górna;ciechanowski;mazowieckie
38-213;UP Ko³aczyce;Ko³aczyce;Szewska;146;Ko³aczyce;jasielski;podkarpackie
38-212;FUP Ko³aczyce;Brzyska;;23;Brzyska;jasielski;podkarpackie
74-106;AP Ko³bacz;Ko³bacz;Warcis³awa;8;Stare Czarnowo;gryfiñski;zachodniopomorskie
05-340;UP Ko³biel;Ko³biel;Koœciuszki Tadeusza;1;Ko³biel;otwocki;mazowieckie
72-514;AP Ko³czewo;Ko³czewo;Zwyciêstwa;22;Wolin;kamieñski;zachodniopomorskie
77-140;UP Ko³czyg³owy;Ko³czyg³owy;S³upska;40;Ko³czyg³owy;bytowski;pomorskie
62-603;AP Ko³o;Ko³o;Konarskiego Stanis³awa;58;Ko³o;kolski;wielkopolskie
62-600;UP Ko³o 1;Ko³o;Sienkiewicza Henryka;24;Ko³o;kolski;wielkopolskie
62-640;FUP Ko³o 1;Grzegorzew;Szkolna;25;Grzegorzew;kolski;wielkopolskie
62-602;FUP Ko³o 1;Ko³o;Kolejowa;58;Ko³o;kolski;wielkopolskie
62-601;FUP Ko³o 1;Ko³o;Mickiewicza Adama;15;Ko³o;kolski;wielkopolskie
62-604;FUP Ko³o 1;Koœcielec;Turecka;1;Koœcielec;kolski;wielkopolskie
62-613;FUP Ko³o 1;Osiek Ma³y;G³ówna;1;Osiek Ma³y;kolski;wielkopolskie
78-100;UP Ko³obrzeg 1;Ko³obrzeg;Armii Krajowej;1;Ko³obrzeg;ko³obrzeski;zachodniopomorskie
